Date,Date_YMD,Confirmed,Deceased
14-Mar-20,2020-03-14,1,0
15-Mar-20,2020-03-15,0,0
16-Mar-20,2020-03-16,0,0
17-Mar-20,2020-03-17,0,0
18-Mar-20,2020-03-18,1,0
19-Mar-20,2020-03-19,1,0
20-Mar-20,2020-03-20,0,0
21-Mar-20,2020-03-21,3,0
22-Mar-20,2020-03-22,3,0
23-Mar-20,2020-03-23,3,0
24-Mar-20,2020-03-24,6,1
25-Mar-20,2020-03-25,8,0
26-Mar-20,2020-03-26,3,0
27-Mar-20,2020-03-27,9,0
28-Mar-20,2020-03-28,4,0
29-Mar-20,2020-03-29,8,0
30-Mar-20,2020-03-30,17,0
31-Mar-20,2020-03-31,57,0
01-Apr-20,2020-04-01,110,0
02-Apr-20,2020-04-02,75,0
03-Apr-20,2020-04-03,102,0
04-Apr-20,2020-04-04,74,2
05-Apr-20,2020-04-05,86,2
06-Apr-20,2020-04-06,50,1
07-Apr-20,2020-04-07,69,1
08-Apr-20,2020-04-08,48,1
09-Apr-20,2020-04-09,96,0
10-Apr-20,2020-04-10,77,1
11-Apr-20,2020-04-11,58,1
12-Apr-20,2020-04-12,106,1
13-Apr-20,2020-04-13,98,0
14-Apr-20,2020-04-14,31,1
15-Apr-20,2020-04-15,38,2
16-Apr-20,2020-04-16,25,1
17-Apr-20,2020-04-17,56,0
18-Apr-20,2020-04-18,49,0
19-Apr-20,2020-04-19,105,0
20-Apr-20,2020-04-20,43,2
21-Apr-20,2020-04-21,76,1
22-Apr-20,2020-04-22,33,0
23-Apr-20,2020-04-23,54,2
24-Apr-20,2020-04-24,72,2
25-Apr-20,2020-04-25,66,1
26-Apr-20,2020-04-26,64,1
27-Apr-20,2020-04-27,52,0
28-Apr-20,2020-04-28,121,1
29-Apr-20,2020-04-29,104,2
30-Apr-20,2020-04-30,161,0
01-May-20,2020-05-01,203,1
02-May-20,2020-05-02,231,1
03-May-20,2020-05-03,266,1
04-May-20,2020-05-04,527,1
05-May-20,2020-05-05,508,2
06-May-20,2020-05-06,771,2
07-May-20,2020-05-07,580,2
08-May-20,2020-05-08,600,3
09-May-20,2020-05-09,526,4
10-May-20,2020-05-10,669,3
11-May-20,2020-05-11,798,6
12-May-20,2020-05-12,716,8
13-May-20,2020-05-13,509,3
14-May-20,2020-05-14,447,2
15-May-20,2020-05-15,434,5
16-May-20,2020-05-16,477,4
17-May-20,2020-05-17,639,4
18-May-20,2020-05-18,536,3
19-May-20,2020-05-19,688,3
20-May-20,2020-05-20,743,3
21-May-20,2020-05-21,776,7
22-May-20,2020-05-22,786,4
23-May-20,2020-05-23,759,5
24-May-20,2020-05-24,765,8
25-May-20,2020-05-25,805,7
26-May-20,2020-05-26,646,11
27-May-20,2020-05-27,817,6
28-May-20,2020-05-28,827,12
29-May-20,2020-05-29,874,9
30-May-20,2020-05-30,938,6
31-May-20,2020-05-31,1149,13
01-Jun-20,2020-06-01,1162,11
02-Jun-20,2020-06-02,1091,13
03-Jun-20,2020-06-03,1286,8
04-Jun-20,2020-06-04,1384,15
05-Jun-20,2020-06-05,1438,12
06-Jun-20,2020-06-06,1458,19
07-Jun-20,2020-06-07,1515,18
08-Jun-20,2020-06-08,1562,17
09-Jun-20,2020-06-09,1685,18
10-Jun-20,2020-06-10,1927,19
11-Jun-20,2020-06-11,1875,23
12-Jun-20,2020-06-12,1982,18
13-Jun-20,2020-06-13,1989,30
14-Jun-20,2020-06-14,1974,38
15-Jun-20,2020-06-15,1843,44
16-Jun-20,2020-06-16,1515,49
17-Jun-20,2020-06-17,2174,48
18-Jun-20,2020-06-18,2141,49
19-Jun-20,2020-06-19,2115,41
20-Jun-20,2020-06-20,2396,38
21-Jun-20,2020-06-21,2532,53
22-Jun-20,2020-06-22,2710,37
23-Jun-20,2020-06-23,2516,39
24-Jun-20,2020-06-24,2865,33
25-Jun-20,2020-06-25,3509,45
26-Jun-20,2020-06-26,3645,46
27-Jun-20,2020-06-27,3713,68
28-Jun-20,2020-06-28,3940,54
29-Jun-20,2020-06-29,3949,62
30-Jun-20,2020-06-30,3943,60
01-Jul-20,2020-07-01,3882,63
02-Jul-20,2020-07-02,4343,57
03-Jul-20,2020-07-03,4329,64
04-Jul-20,2020-07-04,4280,65
05-Jul-20,2020-07-05,4150,60
06-Jul-20,2020-07-06,3827,61
07-Jul-20,2020-07-07,3616,65
08-Jul-20,2020-07-08,3756,64
09-Jul-20,2020-07-09,4231,65
10-Jul-20,2020-07-10,3680,64
11-Jul-20,2020-07-11,3965,69
12-Jul-20,2020-07-12,4244,68
13-Jul-20,2020-07-13,4328,66
14-Jul-20,2020-07-14,4526,67
15-Jul-20,2020-07-15,4496,68
16-Jul-20,2020-07-16,4549,69
17-Jul-20,2020-07-17,4538,79
18-Jul-20,2020-07-18,4807,88
19-Jul-20,2020-07-19,4979,78
20-Jul-20,2020-07-20,4985,70
21-Jul-20,2020-07-21,4965,75
22-Jul-20,2020-07-22,5849,518
23-Jul-20,2020-07-23,6472,88
24-Jul-20,2020-07-24,6785,88
25-Jul-20,2020-07-25,6988,89
26-Jul-20,2020-07-26,6986,85
27-Jul-20,2020-07-27,6993,77
28-Jul-20,2020-07-28,6972,88
29-Jul-20,2020-07-29,6426,82
30-Jul-20,2020-07-30,5864,100
31-Jul-20,2020-07-31,5881,94
01-Aug-20,2020-08-01,5879,99
02-Aug-20,2020-08-02,5875,98
03-Aug-20,2020-08-03,5609,109
04-Aug-20,2020-08-04,5063,108
05-Aug-20,2020-08-05,5175,112
06-Aug-20,2020-08-06,5684,110
07-Aug-20,2020-08-07,5880,119
08-Aug-20,2020-08-08,5883,118
09-Aug-20,2020-08-09,5994,119
10-Aug-20,2020-08-10,5914,114
11-Aug-20,2020-08-11,5834,118
12-Aug-20,2020-08-12,5871,119
13-Aug-20,2020-08-13,5835,119
14-Aug-20,2020-08-14,5890,117
15-Aug-20,2020-08-15,5860,127
16-Aug-20,2020-08-16,5950,125
17-Aug-20,2020-08-17,5890,120
18-Aug-20,2020-08-18,5709,121
19-Aug-20,2020-08-19,5795,116
20-Aug-20,2020-08-20,5986,116
21-Aug-20,2020-08-21,5995,101
22-Aug-20,2020-08-22,5980,80
23-Aug-20,2020-08-23,5975,97
24-Aug-20,2020-08-24,5967,97
25-Aug-20,2020-08-25,5951,107
26-Aug-20,2020-08-26,5958,118
27-Aug-20,2020-08-27,5981,109
28-Aug-20,2020-08-28,5996,102
29-Aug-20,2020-08-29,6352,87
30-Aug-20,2020-08-30,6495,94
31-Aug-20,2020-08-31,5956,91
01-Sep-20,2020-09-01,5928,96
02-Sep-20,2020-09-02,5990,98
03-Sep-20,2020-09-03,5892,92
04-Sep-20,2020-09-04,5976,79
05-Sep-20,2020-09-05,5870,64
06-Sep-20,2020-09-06,5783,85
07-Sep-20,2020-09-07,5776,89
08-Sep-20,2020-09-08,5684,87
09-Sep-20,2020-09-09,5584,78
10-Sep-20,2020-09-10,5528,64
11-Sep-20,2020-09-11,5519,77
12-Sep-20,2020-09-12,5495,76
13-Sep-20,2020-09-13,5693,74
14-Sep-20,2020-09-14,5752,53
15-Sep-20,2020-09-15,5697,68
16-Sep-20,2020-09-16,5652,57
17-Sep-20,2020-09-17,5560,59
18-Sep-20,2020-09-18,5488,67
19-Sep-20,2020-09-19,5569,66
20-Sep-20,2020-09-20,5516,60
21-Sep-20,2020-09-21,5344,60
22-Sep-20,2020-09-22,5337,76
23-Sep-20,2020-09-23,5325,63
24-Sep-20,2020-09-24,5692,66
25-Sep-20,2020-09-25,5679,72
26-Sep-20,2020-09-26,5647,85
27-Sep-20,2020-09-27,5791,80
28-Sep-20,2020-09-28,5589,70
29-Sep-20,2020-09-29,5546,70
30-Sep-20,2020-09-30,5659,67
01-Oct-20,2020-10-01,5688,66
02-Oct-20,2020-10-02,5595,67
03-Oct-20,2020-10-03,5622,65
04-Oct-20,2020-10-04,5489,66
05-Oct-20,2020-10-05,5395,62
06-Oct-20,2020-10-06,5017,71
07-Oct-20,2020-10-07,5447,67
08-Oct-20,2020-10-08,5088,68
09-Oct-20,2020-10-09,5185,68
10-Oct-20,2020-10-10,5242,67
11-Oct-20,2020-10-11,5015,65
12-Oct-20,2020-10-12,4879,62
13-Oct-20,2020-10-13,4666,57
14-Oct-20,2020-10-14,4462,52
15-Oct-20,2020-10-15,4410,49
16-Oct-20,2020-10-16,4389,60
17-Oct-20,2020-10-17,4295,54
18-Oct-20,2020-10-18,3914,56
19-Oct-20,2020-10-19,3536,52
20-Oct-20,2020-10-20,3094,47
21-Oct-20,2020-10-21,3086,39
22-Oct-20,2020-10-22,3077,45
23-Oct-20,2020-10-23,3057,33
24-Oct-20,2020-10-24,2886,35
25-Oct-20,2020-10-25,2869,31
26-Oct-20,2020-10-26,2708,32
27-Oct-20,2020-10-27,2522,27
28-Oct-20,2020-10-28,2516,35
29-Oct-20,2020-10-29,2652,35
30-Oct-20,2020-10-30,2608,38
31-Oct-20,2020-10-31,2511,31
01-Nov-20,2020-11-01,2504,30
02-Nov-20,2020-11-02,2481,31
03-Nov-20,2020-11-03,2435,31
04-Nov-20,2020-11-04,2487,30
05-Nov-20,2020-11-05,2348,28
06-Nov-20,2020-11-06,2370,27
07-Nov-20,2020-11-07,2341,25
08-Nov-20,2020-11-08,2334,20
09-Nov-20,2020-11-09,2257,18
10-Nov-20,2020-11-10,2146,25
11-Nov-20,2020-11-11,2184,28
12-Nov-20,2020-11-12,2112,25
13-Nov-20,2020-11-13,1939,14
14-Nov-20,2020-11-14,1912,12
15-Nov-20,2020-11-15,1819,12
16-Nov-20,2020-11-16,1725,17
17-Nov-20,2020-11-17,1652,18
18-Nov-20,2020-11-18,1714,18
19-Nov-20,2020-11-19,1707,19
20-Nov-20,2020-11-20,1688,18
21-Nov-20,2020-11-21,1663,18
22-Nov-20,2020-11-22,1655,19
23-Nov-20,2020-11-23,1624,17
24-Nov-20,2020-11-24,1557,17
25-Nov-20,2020-11-25,1534,16
26-Nov-20,2020-11-26,1464,14
27-Nov-20,2020-11-27,1442,12
28-Nov-20,2020-11-28,1430,13
29-Nov-20,2020-11-29,1459,9
30-Nov-20,2020-11-30,1410,9
01-Dec-20,2020-12-01,1404,10
02-Dec-20,2020-12-02,1428,11
03-Dec-20,2020-12-03,1416,14
04-Dec-20,2020-12-04,1391,15
05-Dec-20,2020-12-05,1366,15
06-Dec-20,2020-12-06,1320,16
07-Dec-20,2020-12-07,1312,16
08-Dec-20,2020-12-08,1236,13
09-Dec-20,2020-12-09,1232,14
10-Dec-20,2020-12-10,1220,17
11-Dec-20,2020-12-11,1235,17
12-Dec-20,2020-12-12,1218,13
13-Dec-20,2020-12-13,1195,12
14-Dec-20,2020-12-14,1141,14
15-Dec-20,2020-12-15,1132,10
16-Dec-20,2020-12-16,1181,12
17-Dec-20,2020-12-17,1174,11
18-Dec-20,2020-12-18,1134,12
19-Dec-20,2020-12-19,1127,14
20-Dec-20,2020-12-20,1114,15
21-Dec-20,2020-12-21,1071,12
22-Dec-20,2020-12-22,1052,17
23-Dec-20,2020-12-23,1066,12
24-Dec-20,2020-12-24,1035,12
25-Dec-20,2020-12-25,1027,12
26-Dec-20,2020-12-26,1019,11
27-Dec-20,2020-12-27,1009,10
28-Dec-20,2020-12-28,1005,11
29-Dec-20,2020-12-29,957,12
30-Dec-20,2020-12-30,945,17
31-Dec-20,2020-12-31,937,13
01-Jan-21,2021-01-01,921,13
02-Jan-21,2021-01-02,910,11
03-Jan-21,2021-01-03,867,10
04-Jan-21,2021-01-04,838,10
05-Jan-21,2021-01-05,820,11
06-Jan-21,2021-01-06,811,11
07-Jan-21,2021-01-07,805,12
08-Jan-21,2021-01-08,790,8
09-Jan-21,2021-01-09,761,7
10-Jan-21,2021-01-10,724,7
11-Jan-21,2021-01-11,682,6
12-Jan-21,2021-01-12,671,8
13-Jan-21,2021-01-13,673,6
14-Jan-21,2021-01-14,665,4
15-Jan-21,2021-01-15,621,5
16-Jan-21,2021-01-16,610,6
17-Jan-21,2021-01-17,589,7
18-Jan-21,2021-01-18,551,8
19-Jan-21,2021-01-19,543,9
20-Jan-21,2021-01-20,549,9
21-Jan-21,2021-01-21,596,9
22-Jan-21,2021-01-22,574,8
23-Jan-21,2021-01-23,586,2
24-Jan-21,2021-01-24,569,7
25-Jan-21,2021-01-25,540,4
26-Jan-21,2021-01-26,523,5
27-Jan-21,2021-01-27,512,8
28-Jan-21,2021-01-28,503,6
29-Jan-21,2021-01-29,509,6
30-Jan-21,2021-01-30,505,5
31-Jan-21,2021-01-31,508,6
01-Feb-21,2021-02-01,502,7
02-Feb-21,2021-02-02,510,4
03-Feb-21,2021-02-03,514,4
04-Feb-21,2021-02-04,494,4
05-Feb-21,2021-02-05,489,4
06-Feb-21,2021-02-06,477,3
07-Feb-21,2021-02-07,471,1
08-Feb-21,2021-02-08,464,4
09-Feb-21,2021-02-09,469,4
10-Feb-21,2021-02-10,479,5
11-Feb-21,2021-02-11,481,6
12-Feb-21,2021-02-12,483,6
13-Feb-21,2021-02-13,477,5
14-Feb-21,2021-02-14,470,6
15-Feb-21,2021-02-15,455,6
16-Feb-21,2021-02-16,451,7
17-Feb-21,2021-02-17,454,6
18-Feb-21,2021-02-18,457,6
19-Feb-21,2021-02-19,448,7
20-Feb-21,2021-02-20,438,6
21-Feb-21,2021-02-21,452,3
22-Feb-21,2021-02-22,449,6
23-Feb-21,2021-02-23,442,6
24-Feb-21,2021-02-24,463,6
25-Feb-21,2021-02-25,467,5
26-Feb-21,2021-02-26,481,5
27-Feb-21,2021-02-27,486,5
28-Feb-21,2021-02-28,479,3
01-Mar-21,2021-03-01,474,5
02-Mar-21,2021-03-02,462,1
03-Mar-21,2021-03-03,489,2
04-Mar-21,2021-03-04,482,4
05-Mar-21,2021-03-05,543,5
06-Mar-21,2021-03-06,562,4
07-Mar-21,2021-03-07,567,1
08-Mar-21,2021-03-08,556,3
09-Mar-21,2021-03-09,569,4
10-Mar-21,2021-03-10,671,5
11-Mar-21,2021-03-11,685,5
12-Mar-21,2021-03-12,670,4
13-Mar-21,2021-03-13,695,4
14-Mar-21,2021-03-14,759,4
15-Mar-21,2021-03-15,836,4
16-Mar-21,2021-03-16,867,5
17-Mar-21,2021-03-17,945,8
18-Mar-21,2021-03-18,989,9
19-Mar-21,2021-03-19,1087,9
20-Mar-21,2021-03-20,1243,8
21-Mar-21,2021-03-21,1289,9
22-Mar-21,2021-03-22,1385,10
