,index,Date,State,Confirmed,Recovered,Deceased,Other,Tested
19,21657,2021-10-31,Maharashtra,6611078,6450585,140216,3619,62667211.0
16,21654,2021-10-31,Kerala,4968657,4857181,31681,529,37886378.0
15,21653,2021-10-31,Karnataka,2988333,2941578,38082,29,50873103.0
31,21669,2021-10-31,Tamil Nadu,2702623,2655015,36116,0,51159242.0
1,21639,2021-10-31,Andhra Pradesh,2066450,2047722,14373,0,29518787.0
33,21672,2021-10-31,Uttar Pradesh,1710158,1687151,22900,0,83635222.0
35,21674,2021-10-31,West Bengal,1592908,1565471,19141,0,19228303.0
7,21645,2021-10-31,Delhi,1439870,1414431,25091,0,29427753.0
25,21663,2021-10-31,Odisha,1041457,1029147,8386,0,21994343.0
6,21644,2021-10-31,Chhattisgarh,1006052,992159,13577,0,13709510.0
28,21666,2021-10-31,Rajasthan,954429,945443,8954,0,14807752.0
10,21648,2021-10-31,Gujarat,826577,816283,10089,0,30928063.0
22,21660,2021-10-31,Madhya Pradesh,792854,782215,10524,0,20294225.0
12,21650,2021-10-31,Haryana,771252,761068,10049,0,13032504.0
4,21642,2021-10-31,Bihar,726098,716390,9661,1,50531824.0
30,21668,2021-10-31,Telangana,671463,663498,3956,0,27569831.0
3,21641,2021-10-31,Assam,610645,600974,5997,1347,24712042.0
26,21664,2021-10-31,Punjab,602401,585591,16559,0,15429415.0
